x y z system
-25 -98 -12 "Uncertain"
27 -97 -13 "Uncertain"
24 32 -18 "Uncertain"
-56 -45 -24 "Uncertain"
8 41 -24 "Uncertain"
-21 -22 -20 "Uncertain"
17 -28 -17 "Uncertain"
-37 -29 -26 "Uncertain"
65 -24 -19 "Uncertain"
52 -34 -27 "Uncertain"
55 -31 -17 "Uncertain"
34 38 -12 "Uncertain"
-7 -52 61 "Sensory/somatomotor_Hand"
-14 -18 40 "Sensory/somatomotor_Hand"
0 -15 47 "Sensory/somatomotor_Hand"
10 -2 45 "Sensory/somatomotor_Hand"
-7 -21 65 "Sensory/somatomotor_Hand"
-7 -33 72 "Sensory/somatomotor_Hand"
13 -33 75 "Sensory/somatomotor_Hand"
-54 -23 43 "Sensory/somatomotor_Hand"
29 -17 71 "Sensory/somatomotor_Hand"
10 -46 73 "Sensory/somatomotor_Hand"
-23 -30 72 "Sensory/somatomotor_Hand"
-40 -19 54 "Sensory/somatomotor_Hand"
29 -39 59 "Sensory/somatomotor_Hand"
50 -20 42 "Sensory/somatomotor_Hand"
-38 -27 69 "Sensory/somatomotor_Hand"
20 -29 60 "Sensory/somatomotor_Hand"
44 -8 57 "Sensory/somatomotor_Hand"
-29 -43 61 "Sensory/somatomotor_Hand"
10 -17 74 "Sensory/somatomotor_Hand"
22 -42 69 "Sensory/somatomotor_Hand"
-45 -32 47 "Sensory/somatomotor_Hand"
-21 -31 61 "Sensory/somatomotor_Hand"
-13 -17 75 "Sensory/somatomotor_Hand"
42 -20 55 "Sensory/somatomotor_Hand"
-38 -15 69 "Sensory/somatomotor_Hand"
-16 -46 73 "Sensory/somatomotor_Hand"
2 -28 60 "Sensory/somatomotor_Hand"
3 -17 58 "Sensory/somatomotor_Hand"
38 -17 45 "Sensory/somatomotor_Hand"
-49 -11 35 "Sensory/somatomotor_Mouth"
36 -9 14 "Sensory/somatomotor_Mouth"
51 -6 32 "Sensory/somatomotor_Mouth"
-53 -10 24 "Sensory/somatomotor_Mouth"
66 -8 25 "Sensory/somatomotor_Mouth"
-3 2 53 "Cingulo-opercular_Task_Control"
54 -28 34 "Cingulo-opercular_Task_Control"
19 -8 64 "Cingulo-opercular_Task_Control"
-16 -5 71 "Cingulo-opercular_Task_Control"
-10 -2 42 "Cingulo-opercular_Task_Control"
37 1 -4 "Cingulo-opercular_Task_Control"
13 -1 70 "Cingulo-opercular_Task_Control"
7 8 51 "Cingulo-opercular_Task_Control"
-45 0 9 "Cingulo-opercular_Task_Control"
49 8 -1 "Cingulo-opercular_Task_Control"
-34 3 4 "Cingulo-opercular_Task_Control"
-51 8 -2 "Cingulo-opercular_Task_Control"
-5 18 34 "Cingulo-opercular_Task_Control"
36 10 1 "Cingulo-opercular_Task_Control"
32 -26 13 "Auditory"
65 -33 20 "Auditory"
58 -16 7 "Auditory"
-38 -33 17 "Auditory"
-60 -25 14 "Auditory"
-49 -26 5 "Auditory"
43 -23 20 "Auditory"
-50 -34 26 "Auditory"
-53 -22 23 "Auditory"
-55 -9 12 "Auditory"
56 -5 13 "Auditory"
59 -17 29 "Auditory"
-30 -27 12 "Auditory"
-41 -75 26 "Default_mode"
6 67 -4 "Default_mode"
8 48 -15 "Default_mode"
-13 -40 1 "Default_mode"
-18 63 -9 "Default_mode"
-46 -61 21 "Default_mode"
43 -72 28 "Default_mode"
-44 12 -34 "Default_mode"
46 16 -30 "Default_mode"
-68 -23 -16 "Default_mode"
-58 -26 -15 "Uncertain"
27 16 -17 "Uncertain"
-44 -65 35 "Default_mode"
-39 -75 44 "Default_mode"
-7 -55 27 "Default_mode"
6 -59 35 "Default_mode"
-11 -56 16 "Default_mode"
-3 -49 13 "Default_mode"
8 -48 31 "Default_mode"
15 -63 26 "Default_mode"
-2 -37 44 "Default_mode"
11 -54 17 "Default_mode"
52 -59 36 "Default_mode"
23 33 48 "Default_mode"
-10 39 52 "Default_mode"
-16 29 53 "Default_mode"
-35 20 51 "Default_mode"
22 39 39 "Default_mode"
13 55 38 "Default_mode"
-10 55 39 "Default_mode"
-20 45 39 "Default_mode"
6 54 16 "Default_mode"
6 64 22 "Default_mode"
-7 51 -1 "Default_mode"
9 54 3 "Default_mode"
-3 44 -9 "Default_mode"
8 42 -5 "Default_mode"
-11 45 8 "Default_mode"
-2 38 36 "Default_mode"
-3 42 16 "Default_mode"
-20 64 19 "Default_mode"
-8 48 23 "Default_mode"
65 -12 -19 "Default_mode"
-56 -13 -10 "Default_mode"
-58 -30 -4 "Default_mode"
65 -31 -9 "Default_mode"
-68 -41 -5 "Default_mode"
13 30 59 "Default_mode"
12 36 20 "Default_mode"
52 -2 -16 "Default_mode"
-26 -40 -8 "Default_mode"
27 -37 -13 "Default_mode"
-34 -38 -16 "Default_mode"
28 -77 -32 "Default_mode"
52 7 -30 "Default_mode"
-53 3 -27 "Default_mode"
47 -50 29 "Default_mode"
-49 -42 1 "Default_mode"
-31 19 -19 "Uncertain"
-2 -35 31 "Memory_retrieval?"
-7 -71 42 "Memory_retrieval?"
11 -66 42 "Memory_retrieval?"
4 -48 51 "Memory_retrieval?"
-46 31 -13 "Default_mode"
-10 11 67 "Ventral_attention"
49 35 -12 "Default_mode"
8 -91 -7 "Uncertain"
17 -91 -14 "Uncertain"
-12 -95 -13 "Uncertain"
18 -47 -10 "Visual"
40 -72 14 "Visual"
8 -72 11 "Visual"
-8 -81 7 "Visual"
-28 -79 19 "Visual"
20 -66 2 "Visual"
-24 -91 19 "Visual"
27 -59 -9 "Visual"
-15 -72 -8 "Visual"
-18 -68 5 "Visual"
43 -78 -12 "Visual"
-47 -76 -10 "Visual"
-14 -91 31 "Visual"
15 -87 37 "Visual"
29 -77 25 "Visual"
20 -86 -2 "Visual"
15 -77 31 "Visual"
-16 -52 -1 "Visual"
42 -66 -8 "Visual"
24 -87 24 "Visual"
6 -72 24 "Visual"
-42 -74 0 "Visual"
26 -79 -16 "Visual"
-16 -77 34 "Visual"
-3 -81 21 "Visual"
-40 -88 -6 "Visual"
37 -84 13 "Visual"
6 -81 6 "Visual"
-26 -90 3 "Visual"
-33 -79 -13 "Visual"
37 -81 1 "Visual"
-44 2 46 "Fronto-parietal_Task_Control"
48 25 27 "Fronto-parietal_Task_Control"
-47 11 23 "Fronto-parietal_Task_Control"
-53 -49 43 "Fronto-parietal_Task_Control"
-23 11 64 "Fronto-parietal_Task_Control"
58 -53 -14 "Fronto-parietal_Task_Control"
24 45 -15 "Fronto-parietal_Task_Control"
34 54 -13 "Fronto-parietal_Task_Control"
-21 41 -20 "Uncertain"
-18 -76 -24 "Uncertain"
17 -80 -34 "Uncertain"
35 -67 -34 "Uncertain"
47 10 33 "Fronto-parietal_Task_Control"
-41 6 33 "Fronto-parietal_Task_Control"
-42 38 21 "Fronto-parietal_Task_Control"
38 43 15 "Fronto-parietal_Task_Control"
49 -42 45 "Fronto-parietal_Task_Control"
-28 -58 48 "Fronto-parietal_Task_Control"
44 -53 47 "Fronto-parietal_Task_Control"
32 14 56 "Fronto-parietal_Task_Control"
37 -65 40 "Fronto-parietal_Task_Control"
-42 -55 45 "Fronto-parietal_Task_Control"
40 18 40 "Fronto-parietal_Task_Control"
-34 55 4 "Fronto-parietal_Task_Control"
-42 45 -2 "Fronto-parietal_Task_Control"
33 -53 44 "Fronto-parietal_Task_Control"
43 49 -2 "Fronto-parietal_Task_Control"
-42 25 30 "Fronto-parietal_Task_Control"
-3 26 44 "Fronto-parietal_Task_Control"
11 -39 50 "Salience"
55 -45 37 "Salience"
42 0 47 "Salience"
31 33 26 "Salience"
48 22 10 "Salience"
-35 20 0 "Salience"
36 22 3 "Salience"
37 32 -2 "Salience"
34 16 -8 "Salience"
-11 26 25 "Salience"
-1 15 44 "Salience"
-28 52 21 "Salience"
0 30 27 "Salience"
5 23 37 "Salience"
10 22 27 "Salience"
31 56 14 "Salience"
26 50 27 "Salience"
-39 51 17 "Salience"
2 -24 30 "Memory_retrieval?"
6 -24 0 "Subcortical"
-2 -13 12 "Subcortical"
-10 -18 7 "Subcortical"
12 -17 8 "Subcortical"
-5 -28 -4 "Subcortical"
-22 7 -5 "Subcortical"
-15 4 8 "Subcortical"
31 -14 2 "Subcortical"
23 10 1 "Subcortical"
29 1 4 "Subcortical"
-31 -11 0 "Subcortical"
15 5 7 "Subcortical"
9 -4 6 "Subcortical"
54 -43 22 "Ventral_attention"
-56 -50 10 "Ventral_attention"
-55 -40 14 "Ventral_attention"
52 -33 8 "Ventral_attention"
51 -29 -4 "Ventral_attention"
56 -46 11 "Ventral_attention"
53 33 1 "Ventral_attention"
-49 25 -1 "Ventral_attention"
-16 -65 -20 "Cerebellar"
-32 -55 -25 "Cerebellar"
22 -58 -23 "Cerebellar"
1 -62 -18 "Cerebellar"
33 -12 -34 "Uncertain"
-31 -10 -36 "Uncertain"
49 -3 -38 "Uncertain"
-50 -7 -39 "Uncertain"
10 -62 61 "Dorsal_attention"
-52 -63 5 "Dorsal_attention"
-47 -51 -21 "Uncertain"
46 -47 -17 "Uncertain"
47 -30 49 "Sensory/somatomotor_Hand"
22 -65 48 "Dorsal_attention"
46 -59 4 "Dorsal_attention"
25 -58 60 "Dorsal_attention"
-33 -46 47 "Dorsal_attention"
-27 -71 37 "Dorsal_attention"
-32 -1 54 "Dorsal_attention"
-42 -60 -9 "Dorsal_attention"
-17 -59 64 "Dorsal_attention"
29 -5 54 "Dorsal_attention
